stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
CRSM,CRSM,Cressman,,47.62039688565029,-72.91789054870605,Canada/Eastern
VMLC,VMLC,Club Vermillon,,47.66197684034869,-72.98320770263672,Canada/Eastern
RAPB,RAPB,Rapide-Blanc,,47.6717453504636,-73.0038070678711,Canada/Eastern
LDAR,LDAR,Lac-Darey,,47.67093619422418,-73.14053535461426,Canada/Eastern
DUPL,DUPL,Duplessis,,47.70040450447455,-73.20808410644531,Canada/Eastern
MCTC,MCTC,McTavish,,47.761627958394,-73.32005023956299,Canada/Eastern
WNDG,WNDG,Windigo,,47.77123359045231,-73.33416938781738,Canada/Eastern
FERG,FERG,Ferguson,,47.81298159831692,-73.41751098632812,Canada/Eastern
WGWC,WGWC,Club Wigwam,,47.85348659214396,-73.4681510925293,Canada/Eastern
VDRY,VDRY,Vandry,,47.85947611153347,-73.55835914611816,Canada/Eastern
DESS,DESS,Dessane,,47.885672124032325,-73.64002704620361,Canada/Eastern
SMRB,SMRB,Saint-Maurice Riviere Boom,,47.89850621338898,-73.74933242797852,Canada/Eastern
WYMT,WYMT,Weymont,,47.89790198905784,-73.77542495727539,Canada/Eastern
SANM,SANM,Sanmaur,,47.89378732159004,-73.79602432250977,Canada/Eastern
CANN,CANN,Cann,,47.902678046094664,-73.8819408416748,Canada/Eastern
BLGC,BLGC,Club Belanger,,47.92390602624339,-73.93296718597412,Canada/Eastern
HIBB,HIBB,Hibbard,,47.86724993646513,-74.04304504394531,Canada/Eastern
BTRS,BTRS,Bathurst,,47.620223325549446,-65.67064762115479,Canada/Atlantic
WSHG,WSHG,Washago,,44.748362,-79.33487199999999,Canada/Eastern
SPAR,SPAR,Parry Sound Gallery,CP Station,45.3459084,-80.0380182,Canada/Eastern
PARS,PARS,Parry Sound,CN Station,45.3506463,-80.0371849,Canada/Eastern
SUDJ,SUDJ,Sudbury Jct,,46.5244948,-80.9022305,Canada/Eastern
LAFO,LAFO,Laforest,,47.0346826,-81.21421339999999,Canada/Eastern
MCKC,MCKC,McKee's Camp,,47.10646,-81.2590281,Canada/Eastern
FELX,FELX,Felix,,47.20424999999999,-81.407763,Canada/Eastern
RUEL,RUEL,Ruel,,47.25921659999999,-81.467846,Canada/Eastern
WSTR,WSTR,Westree,,47.418601,-81.547963,Canada/Eastern
MSNH,MSNH,Mission Harbour,,49.1284045,-122.3034795,Canada/Pacific
AGAS,AGAS,Agassiz,,49.23955513408011,-121.76424264907837,Canada/Pacific
KATZ,KATZ,Katz,,49.36862525876541,-121.5512752532959,Canada/Pacific
NBND,NBND,North Bend,,49.876867,-121.4496729,Canada/Pacific
BBAR,BBAR,Boston Bar,,49.86938,-121.444652,Canada/Pacific
HOPE,HOPE,Hope,,49.37892229534221,-121.4364767074585,Canada/Pacific
CHIL,CHIL,Chilliwack,,49.1644915,-121.9492407,Canada/Pacific
ABBO,ABBO,Abbotsford,,49.11687930000001,-122.2768776,Canada/Pacific
CASY,CASY,Casey,,47.88785932372457,-74.18106079101562,Canada/Eastern
MCCA,MCCA,McCarthy,,47.86016716540228,-74.34808731079102,Canada/Eastern
SSCC,SSCC,Club Sisco,,47.87916753714323,-74.37435150146484,Canada/Eastern
MJBG,MJBG,Manjobagues,,47.872834853883475,-74.47168350219727,Canada/Eastern
PARE,PARE,Parent,,47.91959210124431,-74.61424827575684,Canada/Eastern
TIMB,TIMB,Timbrell,,47.96803118284337,-74.76445198059082,Canada/Eastern
RTAC,RTAC,Club Rita,,48.00680719305459,-74.84830856323242,Canada/Eastern
STRN,STRN,Strachan,,48.03011621485452,-74.8659896850586,Canada/Eastern
MWWC,MWWC,Club Maniwawa,,48.06809995185229,-74.89585876464844,Canada/Eastern
GRNG,GRNG,Greening,,48.11740255108226,-74.96847152709961,Canada/Eastern
OSKL,OSKL,Oskelaneo Lodge,,48.111213657240576,-75.05670547485352,Canada/Eastern
OSKR,OSKR,Rivière Oskélanéo,,48.10817624222295,-75.20493507385254,Canada/Eastern
CLOV,CLOV,Clova,,48.10972362702286,-75.35985946655273,Canada/Eastern
COQU,COQU,Coquar,,48.11872045997405,-75.4786491394043,Canada/Eastern
MNET,MNET,Monet,,48.16952011228156,-75.64395904541016,Canada/Eastern
CBAT,CBAT,Consolidated Bathurst,,48.19435754433255,-75.74755668640137,Canada/Eastern
KPTC,KPTC,Club Kapitachuan,,48.196531677389856,-75.80892562866211,Canada/Eastern
BRMT,BRMT,Bourmont,,48.200536417839196,-75.83192825317383,Canada/Eastern
